name,model
[RePacked] AMD Ryzen 7 5800X Desktop Processor 8 Cores up to 4.7GHz 36MB Cache AM4 Socket,5800X
"AMD Ryzen 9 3950X (16 Cores 32 Threads,With Max Boost Clock Of 4.7GHz, Base Clock Of 3.5GHz And 72MB Game Cache)",3950X
[RePacked] AMD Ryzen 5 3400G Desktop Processor 4 Cores up to 4.2GHz 6MB Cache AM4 Socket,3400G
"AMD Ryzen 3 3200G With Radeon RX Vega 8 Graphics (4 Cores 4 Threads With Max Boost Clock Of 4GHz, Base Clock Of 3.6GHz And 6MB Game Cache)",3200G
[RePacked] AMD Ryzen 7 2700 Desktop Processor 8 Cores up to 4.1GHz 20MB Cache AM4 Socket (YD2700BBAFBOX),2700
AMD Ryzen 5 3600X AMD Ryzen 5 3600X 3rd Gen Desktop Processor 100-100000022BOX,3600X
[RePacked] AMD Ryzen 5 5600X Desktop Processor 6 Cores up to 4.6GHz 35MB Cache AM4 Socket,5600X
[RePacked] AMD Ryzen 7 3800X Desktop Processor Up to 4.5 GHz 8 Cores 16 Threads 36MB Cache AM4 Socket,3800X
[RePacked] AMD Ryzen 3 2200G Desktop Processor 8 Cores Up to 3.7GHz AM4 Socket with Radeon Vega 8 Graphics,2200G
"AMD Ryzen 7 3800XT PROCESSOR (8 CORES 16 THREADS WITH MAX BOOST CLOCK OF 4.7GHz, BASE CLOCK OF 3.9GHz AND 36MB GAME CACHE)",3800XT
AMD Ryzen 2nd Gen Threadripper 2950X Processor,Threadripper 2950X
"AMD Ryzen Threadripper Pro 3995WX (64 Cores, 128 Threads, With Max Boost Clock Of 4.2GHz, Base Clock Of 2.7 GHz And 292 MB Cache Memory)",3995WX
AMD Ryzen 3 3200G Open Box OEM Processor with Stock Cooler + ASUS Prime A320M-K AM4 Micro-ATX Motherboard,3200G
AMD Ryzen 3 PRO 4350G 3.8GHz Processor,4350G
AMD Ryzen 5 5700G 8 Core Processor,5700G
AMD Ryzen 5 5600G 6 Core Processor,5600G
AMD Ryzen 5 3600XT AMD Ryzen 5 3600XT Gen3 6 Core AM4 Processor with Wraith Spire Cooler,3600XT
[RePacked] AMD Ryzen 7 3700X Desktop,3700X
AMD Ryzen 2nd Gen Threadripper 2920X,Threadripper 2920X
"AMD Ryzen 9 3900X (12 Cores 24 Threads, With Max Boost Clock Of 4.6GHz, Base Clock Of 3.8GHz And 70MB Game Cache)",3900X
"AMD Ryzen 7 3700X (8 Cores 16 Threads With Max Boost Clock Of 4.4GHz, Base Clock Of 3.6GHz And 36MB Game Cache)",3700X
[RePacked] AMD Ryzen 5 2600X Desktop Processor AM4 Socket 6 Cores 12 Threads Max Boost 4.2Ghz 20MB of Cache,2600X
"AMD Ryzen 7 3800X  (8 Cores 16 Threads, With Max Boost Clock Of 4.5GHz, Base Clock Of 3.9GHz And 36MB Game Cache)",3800X
[RePacked] AMD Ryzen 3 3100 Desktop Processor 4 Cores 8 Threads 18MB Cache PCIe 4.0,3100
"AMD Ryzen 3 3100 (4 Cores 8 Threads with Max Boost Clock of 3.9GHz, Base Clock of 3.6GHz and 18MB Game Cache)",3100
[RePacked] AMD Ryzen 5 3500X Desktop,3500X
[RePacked] AMD Ryzen 7 2700X Desktop Processor 8 Cores up to 4.3GHz 20MB Cache AM4 Socket (YD270XBGAFBOX),2700X
AMD Ryzen 2nd Gen Threadripper 2970WX Desktop Processor,Threadripper 2970WX
"AMD Ryzen 9 3900XT (12 CORES 24 THREADS WITH MAX BOOST CLOCK OF 4.7GHz, BASE CLOCK OF 3.8GHz AND 70MB GAME CACHE)",3900XT
AMD Ryzen 5 PRO 4650G AMD Ryzen 5 PRO 4650G 3.7GHz 6 Cores-12 Threads Processor,4650G
"AMD Ryzen Threadripper Pro 3955WX (16 Cores 32 Threads, With Max Boost Clock Of 4.3GHz, Base Clock Of 3.9GHz And 73 MB Cache Memory)",3955WX
AMD Ryzen 3 2200G with Radeon Vega 8 Graphics (Up to 3.7GHz 6 MB Cache),2200G
[RePacked] AMD Ryzen 5 2600 Desktop Processor 6 Cores up to 3.9GHz 19MB Cache AM4 Socket (YD2600BBAFBOX),2600
"AMD Ryzen Threadripper Pro 3975WX (32 Cores, 64 Threads, With Max Boost Clock Of 4.2GHz, Base Clock Of 3.5GHz And 146 MB Cache Memory)",3975WX
